"source","object_id","original_location_str","site","no_samples","results","street_name","street_suffix","notes","geometry"
"Hydrant Water Samples",45,"KULALANI DRIVE, KULA","55",3,"<p> Sample Date: 8/18/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60446-1 <br> Analyte: Dichloromethane <br> Result: 1.7 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63200-3 <br> Analyte: Nitrate as N <br> Result: 0.10 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","KULALANI","DR",NA,c(-156.3100515, 20.7747269)
"Hydrant Water Samples",46,"KULALANI DRIVE, KULA","591",3,"<p> Sample Date: 8/18/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60461-9 <br> Analyte: Dichloromethane <br> Result: 1.9  - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63200-4 <br> Analyte: Nitrate as N <br> Result: 0.099 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","KULALANI","DR",NA,c(-156.3103115, 20.7748469)
"Hydrant Water Samples",47,"KULALANI DRIVE, KULA","58",3,"<p> Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63124-1 <br> Analyte: Nitrate as N <br> Result: 0.10 mg/L <br> RL: 0.050 <br> for Total metals see attached <br> Reporting value: All VOCs are ND (Non-detect)","KULALANI","DR",NA,c(-156.309391, 20.7758925)
"Hydrant Water Samples",48,"KULALANI DRIVE, KULA","53",2,"<p> Sample Date: 8/18/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60461-8 <br> Analyte: Dichloromethane <br> Result: 1.1 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63191-1 <br> Analyte: Nitrate, Barium <br> Result: 0.11 mg/L, and 2.9 ug/L respectively <br> RL: 0.050 mg/L, and 2.0 ug/L respectively ","KULALANI","DR",NA,c(-156.3102083, 20.7761951)
"Hydrant Water Samples",51,"UPPER KIMO DRIVE, KULA","796",4,"<p> Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63119-1 <br> Analyte: Nitrate as N <br> Result: 0.093 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 9/26/23 <br> Reporting value: All VOCs are ND (Non-detect)","UPPER KIMO","DR",NA,c(-156.3057729, 20.778964)
"Hydrant Water Samples",58,"KULA HWY, KULA","633",2,"Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect)","KULA","HWY",NA,c(-156.3289145, 20.7628134)
"Hydrant Water Samples",59,"KEKAULIKE AVENUE, KULA","72",1,"Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect)","KEKAULIKE","AVE",NA,c(-156.3069945, 20.7551334)
"Hydrant Water Samples",62,"NAALAE RD, KULA","285",7," Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/27/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/27/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/2/2023 <br> Sample ID: 230903-3963-001-24 <br> Analyte: Nitrogen, Nitrate - Nitrite <br> Result: 0.087 mg/L <br> MDL: 0.024 <br> for Total metals see attached <p> Sample Date: 9/8/2023 <br> Sample ID: 230908-3963-002-13 <br> Analyte: Nitrogen, Nitrate <br> Result: 0.087 mg/L <br> MDL: 0.018  <br> for Total metals see attached ","NAALAE","RD",NA,c(-156.3316845, 20.7507634)
"Hydrant Water Samples",76,"OLINDA ROAD, MAKAWAO","59",3,"Sample Date: 8/14/2023 <br> Contaminant: TOLUENE, XYLENES <br> Detection limit: both Less than 0.5 μg/L <br> MCL: 1000 μg/L  and 10000 μg/L, respectively   <br> Result: trace amounts but ND (Non-detect)  <p> Sample Date: 8/16/2023 <br> Lab Sample ID: 380-59608-5 <br> Analyte: Toluene <br> Result: 0.32 <br> Qualifier: J <br> RL: 0.50 ug/L <br> MDL: 0.057 ug/L <p> Sample Date: 8/24/2023 <br> Reporting value: All VOCs are ND (Non-detect)","OLINDA","RD",NA,c(-156.289045, 20.8159976)
"Hydrant Water Samples",77,"MAKANOE PLACE, MAKAWAO","76",7," Sample Date: 8/14/2023 <br> Contaminant: TOLUENE, XYLENES <br> Detection limit: both Less than 0.5 μg/L <br> MCL: 1000 μg/L  and 10000 μg/L, respectively   <br> Result: trace amounts but ND (Non-detect)   <p> Sample Date: 8/16/2023 <br> Lab Sample ID: 380-59608-4 <br> Analyte: Toluene <br> Result: 0.4 <br> Qualifier: J <br> RL: 0.50 ug/L <br> MDL: 0.057 ug/L <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60451-3 <br> Analyte: Dichloromethane <br> Result: 1.6 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/24/2023 <br> Reporting value: All VOCs are ND (Non-detect) - first draw and flushed <p> Sample Date: 9/2/2023 <br> Sample ID: 230903-3963-001-04 <br> Analyte: Nitrogen, Nitrate - Nitrite <br> Result: 0.025 mg/L <br> MDL: 0.024 <br> for Total metals see attached <p> Sample Date: 9/8/2023 <br> Sample ID: 230908-3963-002-30 <br> Analyte: Nitrogen, Nitrate <br> Result: 0.023 mg/L <br> MDL: 0.018  <br> for Total metals see attached","MAKANOE","PL",NA,c(-156.2895303, 20.8141684)
"Hydrant Water Samples",78,"OLINDA ROAD, MAKAWAO","36",6,"<p> Sample Date: 8/14/2023 <br> Contaminant: TOLUENE, XYLENES <br> Detection limit: both Less than 0.5 μg/L <br> MCL: 1000 μg/L  and 10000 μg/L , respectively <br> Result: trace amounts but ND (Non-detect)   <p> Sample Date: 8/16/2023 <br> Lab Sample ID: 380-59608-2 <br> Analyte: Toluene <br> Result: 0.33 <br> Qualifier: J <br> RL: 0.50 ug/L <br> MDL: 0.057 ug/L <p> Sample Date: 8/24/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/29/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/2/2023 <br> Sample ID: 230903-3963-001-03 <br> Analyte: Nitrogen, Nitrate - Nitrite <br> Result: 0.033 mg/L <br> MDL: 0.024 <br> for Total metals see attached <p> Sample Date: 9/8/2023 <br> Sample ID: 230908-3963-002-28 <br> Analyte: Nitrogen, Nitrate <br> Result: 0.027 mg/L <br> MDL: 0.018  <br> for Total metals see attached ","OLINDA","RD",NA,c(-156.2760415, 20.8052022)
"Hydrant Water Samples",79,"OLINDA ROAD, MAKAWAO","3",5,"Sample Date: 8/14/2023 <br> Contaminant: TOLUENE, XYLENES <br> Detection limit: both Less than 0.5 μg/L <br> MCL: 1000 μg/L  and 10000 μg/L, respectively  <br> Result: trace amounts but ND (Non-detect)  <p> Sample Date: 8/16/2023 <br> Lab Sample ID: 380-59608-3 <br> Analyte: Toluene <br> Result: 0.34 <br> Qualifier: J <br> RL: 0.50 ug/L <br> MDL: 0.057 ug/L <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60451-2 <br> Analyte: Dichloromethane <br> Result: 1.2 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/24/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 9/8/2023 <br> Sample ID: 230908-3963-002-29 <br> Analyte: Nitrogen, Nitrate <br> Result: 0.023 mg/L <br> MDL: 0.018  <br> for Total metals see attached ","OLINDA","RD",NA,c(-156.2863444, 20.8139183)
"Hydrant Water Samples",80,"CRATER ROAD, KULA","197",1,"Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect)","CRATER","RD",NA,c(-156.2963882, 20.7704004)
"Hydrant Water Samples",81,"KUPOHI STREET, LAHAINA","406",5,"Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60577-1 <br> Analyte: Dichloromethane <br> Result: 0.73 - refer to case narrative <br> RL: 0.50 ug/L<p> Sample Date: 9/12/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 09/27/2023 <br> Sample ID: 380-64847-5 <br> Analyte: Benzo[a]pyrene, Nitrate as N <br> Result: 0.025 ug/L, and 0.14 mg/L respectively  <br> RL: 0.020 ug/L, and 0.050 mg/L respectively <br> for Total metals see attached <p> Sample Date: 11/09/23 <br> Lab Sample ID: 380-71225-5 <br> Reporting value: All SVOCs are ND (Non-detect) ","KUPOHI","ST",NA,c(-156.6782337, 20.8846385)
"Hydrant Water Samples",82,"KEAWE STREET, LAHAINA","362",6," Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59920-2 <br> Analyte: Dichloromethane <br> Result: 3.9 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 9/12/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 09/27/23 <br> Lab Sample ID: 380-64847-7 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 09/27/23 <br> Sample ID: 380-64847-7 <br> Analyte: Nitrate  <br> Result: 0.14 mg/L  <br> for Total metals see attached <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69709-6 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/06/23 <br> Sample ID: 380-70232-6 <br> Analyte: Nitrate as N  <br> Result: 0.20 mg/L <br> for Total metals see attached ","KEAWE","ST",NA,c(-156.6804516, 20.8847448)
"Hydrant Water Samples",83,"KOMO MAI STREET, LAHAINA","444",3,"Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 9/12/2023 <br> Reporting value: All VOCs are ND (Non-detect)","KOMO MAI","ST",NA,c(-156.6740665, 20.8830983)
"Hydrant Water Samples",84,"KOMO MAI STREET, LAHAINA","446",4,"Sample Date: 8/20/2023 <br> Lab Sample ID: 380-59920-5 <br> Analyte: Benzene, Toulene, Ethylbenzene and Dichloromethane <br> Result: 0.88, 2.5, 1.9 and 3.0 respectively <br> Qualifier: Refer to Case Narrative for Dichloromethane <br> RL: 0.50 ug/L for all <p> Sample Date: 8/23/2023 <br> Lab Sample ID: 380-60577-4 <br> Analyte: Toulene and Ethylbenzene  <br> Result: 0.76  and 0.51, respectively <br> RL: 0.50 ug/L for all<p> Sample Date: 9/12/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 09/27/23 <br> Lab Sample ID: 380-64847-2 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 09/27/23 <br> Sample ID: 380-64847-2 <br> Analyte: Nitrate and Barium  <br> Result: 0.14 mg/L, and 2.8 mg/L respectively  <br> for Total metals see attached ","KOMO MAI","ST",NA,c(-156.6724039, 20.8840184)
"Hydrant Water Samples",85,"KANAKEA LOOP, LAHAINA","208",3,"<p> Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/27/23 <br> Sample ID: 380-64848-3 <br> Analyte: Nitrate as N <br> Result: 0.14 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","KANAKEA","LOOP",NA,c(-156.6685354, 20.8845895)
"Hydrant Water Samples",86,"KANAKEA LOOP, LAHAINA","210",3,"<p> Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59920-7 <br> Analyte: Dichloromethane <br> Result: 2.1 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60577-6 <br> Analyte: Dichloromethane <br> Result: 1.6 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 9/27/23 <br> Sample ID: 380-64848-4 <br> Analyte: Nitrate as N <br> Result: 0.14 mg/L <br> RL: 0.050 <br> Reporting value: All VOCs are ND (Non-detect)","KANAKEA","LOOP",NA,c(-156.6699155, 20.8858695)
"Hydrant Water Samples",87,"KANAKEA LOOP, LAHAINA","160",3,"<p> Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60577-7 <br> Analyte: Dichloromethane <br> Result: 1.2 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 9/27/23 <br> Sample ID: 380-64848-2 <br> Analyte: Nitrate as N <br> Result: 0.13 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","KANAKEA","LOOP",NA,c(-156.6696122, 20.8844712)
"Hydrant Water Samples",88,"KAHENA STREET, LAHAINA","165",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59920-9 <br> Analyte: Dichloromethane <br> Result: 2.9  <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 09/27/23 <br> Lab Sample ID: 380-64847-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 09/27/23 <br> Sample ID: 380-64847-1 <br> Analyte: Nitrate, Copper, and Lead  <br> Result: 0.14 mg/L, 200 mg/L, and 32 mg/L respectively  <br> for Total metals see attached ","KAHENA","ST",NA,c(-156.6709415, 20.8843709)
"Hydrant Water Samples",89,"NIHEU STREET, LAHAINA","277",4,"<p> Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-1 <br> Analyte: Dichloromethane <br> Result: 1.6 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60580-1 <br> Analyte: Dichloromethane <br> Result: 1.5 <br> RL: 0.50 ug/L <p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","NIHEU","ST",NA,c(-156.664124, 20.8866783)
"Hydrant Water Samples",90,"NIHEU STREET, LAHAINA","280",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-2 <br> Analyte: Dichloromethane <br> Result: 2.8 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60580-2 <br> Analyte: Dichloromethane <br> Result: 1.6 - refer to case narrative <br> RL: 0.50 ug/L<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","NIHEU","ST",NA,c(-156.6657055, 20.8893375)
"Hydrant Water Samples",91,"LAALO STREET, LAHAINA","273",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-3 <br> Analyte: Dichloromethane <br> Result: 2.3 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60580-3 <br> Analyte: Dichloromethane <br> Result: 0.51 - refer to case narrative <br> RL: 0.50 ug/L<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","LAALO","ST",NA,c(-156.6647914, 20.8863368)
"Hydrant Water Samples",92,"LAALO PLACE, LAHAINA","276",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-4 <br> Analyte: Dichloromethane <br> Result: 3.2 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","LAALO","PL",NA,c(-156.6662852, 20.8890038)
"Hydrant Water Samples",93,"KUIALUA PLACE, LAHAINA","272",4,"Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60580-5 <br> Analyte: Dichloromethane <br> Result: 0.65 <br> RL: 0.50 ug/L <p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","KUIALUA","PL",NA,c(-156.6668683, 20.8884474)
"Hydrant Water Samples",94,"HOPOE STREET, LAHAINA","263",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-6 <br> Analyte: Dichloromethane <br> Result: 1.6 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60580-6 <br> Analyte: Dichloromethane <br> Result: 1.4 <br> RL: 0.50 ug/L<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","HOPOE","ST",NA,c(-156.6662923, 20.8854123)
"Hydrant Water Samples",95,"HOPOE PLACE, LAHAINA","266",3,"Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","HOPOE","PL",NA,c(-156.6680467, 20.8872767)
"Hydrant Water Samples",96,"HOKEO STREET, LAHAINA","259",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-8 <br> Analyte: Dichloromethane <br> Result: 2.2 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 08/23/2023 <br> Lab Sample ID: 380-60580-8 <br> Analyte: Dichloromethane <br> Result: 1.9 - refer to case narrative <br> RL: 0.50 ug/L<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","HOKEO","ST",NA,c(-156.6669332, 20.885016)
"Hydrant Water Samples",97,"N HAKAU PLACE, LAHAINA","258",3,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59925-9 <br> Analyte: Dichloromethane <br> Result: 1.6 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/23/2023 <br> Reporting value: All VOCs are ND (Non-detect)<p> Sample Date: 8/30/2023 <br> Reporting value: All VOCs are ND (Non-detect)","N HAKAU","PL",NA,c(-156.6691975, 20.8863447)
"Hydrant Water Samples",98,"HANOHANO STREET, LAHAINA","326",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-1 <br> Analyte: Dichloromethane <br> Result: 2.1 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","HANOHANO","ST",NA,c(-156.6800295, 20.9012272)
"Hydrant Water Samples",99,"HANOHANO STREET, LAHAINA","327",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-2 <br> Analyte: Dichloromethane <br> Result: 2.0 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","HANOHANO","ST",NA,c(-156.6801639, 20.9005652)
"Hydrant Water Samples",100,"AA PLACE, LAHAINA","328",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-3 <br> Analyte: Dichloromethane <br> Result: 2.7 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","AA","PL",NA,c(-156.6810752, 20.9013154)
"Hydrant Water Samples",101,"AA PLACE, LAHAINA","329",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-4 <br> Analyte: Dichloromethane <br> Result: 2.0 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","AA","PL",NA,c(-156.6811162, 20.9006341)
"Hydrant Water Samples",102,"HOOLI STREET, LAHAINA","330",1,"Sample Date: 8/20/2023 <br> Reporting value: All VOCs are ND (Non-detect)","HOOLI","ST",NA,c(-156.6817925, 20.9010698)
"Hydrant Water Samples",103,"AIPUNI STREET, LAHAINA","338",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-6 <br> Analyte: Dichloromethane <br> Result: 1.3 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","AIPUNI","ST",NA,c(-156.6819488, 20.900277)
"Hydrant Water Samples",104,"AINAKEA PLACE, LAHAINA","331",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-7 <br> Analyte: Dichloromethane <br> Result: 2.9 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","AINAKEA","PL",NA,c(-156.6827738, 20.901394)
"Hydrant Water Samples",105,"AINAKEA PLACE, LAHAINA","332",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-8 <br> Analyte: Dichloromethane <br> Result: 2.5 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","AINAKEA","PL",NA,c(-156.6829059, 20.9008962)
"Hydrant Water Samples",106,"KANIAU ROAD, LAHAINA","191",1,"Sample Date: 08/20/2023 <br> Lab Sample ID: 380-59932-9 <br> Analyte: Dichloromethane <br> Result: 1.7 <br> Qualifier: refer to Case Narrative <br> RL: 0.50 ug/L","KANIAU","RD",NA,c(-156.6823279, 20.8995663)
